code,name,industry,today_pct,stage,reason,metrics,optimization
000060,中金岭南,铅锌,10.07%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=6.79/5.89, bias200=14.6%, RPS50/120=62.5/78.9, 20日涨跌=8.3%, 低位距=52.7%, SOS量比=0.92",趋势轨：RPS阈值敏感
000066,中国长城,IT设备,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200,"MA50/200=15.89/15.92, bias200=24.5%, RPS50/120=90.0/74.7, 20日涨跌=33.5%, 低位距=44.9%, SOS量比=3.50",事件驱动：不建议硬放宽
000338,潍柴动力,汽车配件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=26.50/19.28, bias200=61.9%, RPS50/120=89.3/97.0, 20日涨跌=23.3%, 低位距=126.6%, SOS量比=1.28",事件驱动：不建议硬放宽
000402,金融街,全国地产,10.09%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：未突破近20日高点,"MA50/200=2.73/2.90, bias200=9.1%, RPS50/120=81.8/59.6, 20日涨跌=23.3%, 低位距=28.9%, SOS量比=3.26",L2旁路候选：可测试爆发前夜/试盘观察池
000510,新金路,化工原料,9.26%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、短期RPS未降温,"MA50/200=16.17/10.12, bias200=39.8%, RPS50/120=51.1/98.4, 20日涨跌=-5.9%, 低位距=223.6%, SOS量比=0.52",事件驱动：不建议硬放宽
000553,安道麦A,农药化肥,9.97%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足,"MA50/200=6.20/6.42, bias200=6.2%, RPS50/120=83.1/61.5, 20日涨跌=6.4%, 低位距=24.5%, SOS量比=0.82",L2旁路候选：可测试爆发前夜/试盘观察池
000620,盈新发展,全国地产,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、RPS120不足,"MA50/200=2.94/2.55, bias200=9.6%, RPS50/120=24.4/69.8, 20日涨跌=-1.4%, 低位距=79.5%, SOS量比=0.50",趋势轨：RPS阈值敏感
000783,长江证券,证券,10.01%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=8.11；L4=SOS,"L2通道=点火破局, 当前=7.99",风控：硬剔除改高风险观察
000802,北京文化,影视音像,9.98%,L1淘汰,市值不足：30.86亿 < 35.00亿,20日均额=8008.2万,L1流动性/市值
000811,冰轮环境,工程机械,8.38%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=19.50/15.69, bias200=59.0%, RPS50/120=95.7/94.1, 20日涨跌=40.6%, 低位距=188.4%, SOS量比=1.34",事件驱动：不建议硬放宽
000815,美利云,通信设备,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=18.38/14.12, bias200=34.7%, RPS50/120=90.2/90.4, 20日涨跌=-8.1%, 低位距=75.8%, SOS量比=0.65",事件驱动：不建议硬放宽
000818,航锦科技,化工原料,9.99%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、长期RPS不足,"MA50/200=19.87/21.40, bias200=-28.4%, RPS50/120=0.6/2.6, 20日涨跌=-27.8%, 低位距=9.3%, SOS量比=1.76",事件驱动：不建议硬放宽
000863,三湘印象,区域地产,10.10%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：条件基本接近,"MA50/200=5.35/4.67, bias200=3.8%, RPS50/120=7.9/81.8, 20日涨跌=-10.7%, 低位距=43.9%, SOS量比=1.36",事件驱动：不建议硬放宽
000889,中嘉博创,通信设备,9.95%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=3.84/3.77, bias200=17.1%, RPS50/120=86.5/75.4, 20日涨跌=30.0%, 低位距=70.0%, SOS量比=2.42",事件驱动：不建议硬放宽
000925,众合科技,运输设备,8.81%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200、RS未跑赢大盘,"MA50/200=7.83/8.12, bias200=13.1%, RPS50/120=81.6/74.6, 20日涨跌=27.8%, 低位距=33.8%, SOS量比=7.41",事件驱动：不建议硬放宽
000960,锡业股份,小金属,9.11%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=36.11/27.58, bias200=27.8%, RPS50/120=59.6/89.9, 20日涨跌=8.4%, 低位距=157.1%, SOS量比=0.78",趋势轨：RPS阈值敏感
000967,盈峰环境,环境保护,10.02%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=9.90/7.67, bias200=77.0%, RPS50/120=99.0/96.2, 20日涨跌=48.8%, 低位距=140.2%, SOS量比=2.17",事件驱动：不建议硬放宽
001257,盛龙股份,小金属,9.72%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、短期RPS未降温、长期RPS不足,"MA50/200=-/-, bias200=-, RPS50/120=-/-, 20日涨跌=-8.9%, 低位距=3.5%, SOS量比=0.36",事件驱动：不建议硬放宽
001287,中电港,元器件,10.02%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS120不足,"MA50/200=24.79/23.18, bias200=14.2%, RPS50/120=84.3/48.7, 20日涨跌=10.5%, 低位距=55.7%, SOS量比=1.17",事件驱动：不建议硬放宽
001309,德明利,半导体,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=372.47/227.75, bias200=130.4%, RPS50/120=99.6/97.8, 20日涨跌=41.1%, 低位距=563.2%, SOS量比=1.28",事件驱动：不建议硬放宽
001316,润贝航科,批发业,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS50不足、距MA200过高,"MA50/200=49.07/40.02, bias200=29.7%, RPS50/120=41.2/90.0, 20日涨跌=9.5%, 低位距=66.8%, SOS量比=0.70",趋势轨：RPS阈值敏感
001337,四川黄金,黄金,8.32%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=50.41/34.88, bias200=54.0%, RPS50/120=86.3/96.2, 20日涨跌=7.6%, 低位距=132.1%, SOS量比=1.09",事件驱动：不建议硬放宽
001389,广合科技,元器件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=124.44/87.87, bias200=85.8%, RPS50/120=97.8/97.5, 20日涨跌=35.6%, 低位距=250.2%, SOS量比=0.92",事件驱动：不建议硬放宽
002015,协鑫能科,新型电力,10.03%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=17.43/12.89, bias200=37.7%, RPS50/120=94.9/93.1, 20日涨跌=2.9%, 低位距=157.6%, SOS量比=0.83",事件驱动：不建议硬放宽
002044,美年健康,医疗保健,9.94%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：长期RPS不足,"MA50/200=5.90/5.67, bias200=-4.2%, RPS50/120=4.4/43.3, 20日涨跌=-5.4%, 低位距=12.2%, SOS量比=3.03",事件驱动：不建议硬放宽
002052,同洲电子,家用电器,10.01%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：未突破近20日高点,"MA50/200=11.10/12.97, bias200=-22.2%, RPS50/120=20.8/2.5, 20日涨跌=-4.2%, 低位距=56.7%, SOS量比=3.27",L2旁路候选：可测试爆发前夜/试盘观察池
002080,中材科技,玻璃,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=46.58/36.67, bias200=50.4%, RPS50/120=94.0/92.0, 20日涨跌=34.0%, 低位距=307.5%, SOS量比=0.96",事件驱动：不建议硬放宽
002081,金螳螂,装修装饰,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=3.75/3.60, bias200=63.9%, RPS50/120=97.7/94.0, 20日涨跌=73.5%, 低位距=85.0%, SOS量比=8.94",事件驱动：不建议硬放宽
002149,西部材料,小金属,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=50.31/31.83, bias200=99.6%, RPS50/120=92.6/99.7, 20日涨跌=26.9%, 低位距=293.0%, SOS量比=1.00",事件驱动：不建议硬放宽
002156,通富微电,半导体,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=46.62/39.22, bias200=32.0%, RPS50/120=79.1/78.7, 20日涨跌=22.1%, 低位距=124.1%, SOS量比=1.61",事件驱动：不建议硬放宽
002158,汉钟精机,工程机械,10.00%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足,"MA50/200=24.59/23.75, bias200=16.3%, RPS50/120=73.6/69.8, 20日涨跌=22.7%, 低位距=67.9%, SOS量比=2.50",L2旁路候选：可测试爆发前夜/试盘观察池
002181,粤传媒,出版业,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=11.89/9.59, bias200=71.9%, RPS50/120=91.1/91.5, 20日涨跌=37.1%, 低位距=215.3%, SOS量比=0.93",事件驱动：不建议硬放宽
002203,海亮股份,铜,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=14.95/12.98, bias200=38.5%, RPS50/120=94.0/91.5, 20日涨跌=24.0%, 低位距=104.4%, SOS量比=1.62",事件驱动：不建议硬放宽
002210,飞马国际,环境保护,10.07%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=3.04；L4=-,"L2通道=地量蓄势, 当前=2.98",风控：硬剔除改高风险观察
002217,合力泰,元器件,10.03%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日涨幅不足、未突破近20日高点,"MA50/200=2.67/3.00, bias200=-3.8%, RPS50/120=54.5/24.5, 20日涨跌=23.5%, 低位距=41.7%, SOS量比=2.72",L2旁路候选：可测试爆发前夜/试盘观察池
002229,鸿博股份,广告包装,10.01%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：短期RPS未降温、长期RPS不足,"MA50/200=17.64/17.50, bias200=-6.3%, RPS50/120=65.7/32.3, 20日涨跌=-10.8%, 低位距=53.9%, SOS量比=0.89",事件驱动：不建议硬放宽
002245,蔚蓝锂芯,电气设备,10.02%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS120不足,"MA50/200=18.27/17.45, bias200=18.4%, RPS50/120=90.5/63.6, 20日涨跌=22.0%, 低位距=78.1%, SOS量比=0.80",事件驱动：不建议硬放宽
002272,川润股份,机械基件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、RPS120不足,"MA50/200=18.62/16.02, bias200=8.0%, RPS50/120=73.5/67.8, 20日涨跌=-4.0%, 低位距=95.0%, SOS量比=0.54",趋势轨：RPS阈值敏感
002283,天润工业,汽车配件,9.97%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=9.91/7.36, bias200=52.5%, RPS50/120=94.8/94.3, 20日涨跌=16.4%, 低位距=105.3%, SOS量比=0.63",事件驱动：不建议硬放宽
002290,禾盛新材,家用电器,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=66.19/46.92, bias200=73.2%, RPS50/120=95.5/96.8, 20日涨跌=29.3%, 低位距=227.0%, SOS量比=2.37",事件驱动：不建议硬放宽
002353,杰瑞股份,化工机械,9.52%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=111.07/70.96, bias200=93.1%, RPS50/120=95.9/99.0, 20日涨跌=36.4%, 低位距=358.3%, SOS量比=1.28",事件驱动：不建议硬放宽
002355,兴民智通,汽车配件,10.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：长期RPS不足,"MA50/200=6.72/6.41, bias200=-6.3%, RPS50/120=15.1/56.0, 20日涨跌=-9.9%, 低位距=8.1%, SOS量比=0.38",事件驱动：不建议硬放宽
002364,中恒电气,电气设备,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=34.54/27.35, bias200=49.1%, RPS50/120=92.3/92.4, 20日涨跌=51.0%, 低位距=195.8%, SOS量比=1.13",事件驱动：不建议硬放宽
002418,康盛股份,家用电器,9.93%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=5.16/4.70, bias200=20.0%, RPS50/120=88.1/76.2, 20日涨跌=17.5%, 低位距=105.8%, SOS量比=1.27",事件驱动：不建议硬放宽
002428,云南锗业,小金属,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=51.27/33.83, bias200=106.9%, RPS50/120=99.2/98.3, 20日涨跌=40.3%, 低位距=288.1%, SOS量比=1.39",事件驱动：不建议硬放宽
002453,华软科技,化工原料,9.98%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=5.89；L4=-,"L2通道=地量蓄势, 当前=5.61",风控：硬剔除改高风险观察
002491,通鼎互联,通信设备,8.04%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=12.71/7.53, bias200=109.9%, RPS50/120=97.4/99.4, 20日涨跌=32.1%, 低位距=280.7%, SOS量比=0.72",事件驱动：不建议硬放宽
002515,金字火腿,食品,8.90%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200、RPS120不足,"MA50/200=5.97/6.47, bias200=0.8%, RPS50/120=81.2/48.3, 20日涨跌=15.4%, 低位距=32.0%, SOS量比=2.79",事件驱动：不建议硬放宽
002580,圣阳股份,电气设备,8.37%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=18.15/14.71, bias200=86.8%, RPS50/120=99.4/96.5, 20日涨跌=49.7%, 低位距=140.8%, SOS量比=1.90",事件驱动：不建议硬放宽
002631,德尔未来,家居用品,8.87%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=6.85/5.70, bias200=38.3%, RPS50/120=94.0/89.2, 20日涨跌=16.0%, 低位距=85.2%, SOS量比=1.49",事件驱动：不建议硬放宽
002640,跨境通,互联网,10.14%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=3.79；L4=-,"L2通道=地量蓄势, 当前=3.65",风控：硬剔除改高风险观察
002757,南兴股份,专用机械,9.28%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=21.51/19.59, bias200=18.2%, RPS50/120=74.1/84.1, 20日涨跌=12.5%, 低位距=48.8%, SOS量比=1.35",趋势轨：RPS阈值敏感
002759,天际股份,电气设备,8.45%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS50不足、距MA200过高,"MA50/200=35.68/28.82, bias200=32.2%, RPS50/120=46.0/79.5, 20日涨跌=7.2%, 低位距=435.7%, SOS量比=1.90",趋势轨：RPS阈值敏感
002787,华源控股,广告包装,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=14.09/11.26, bias200=72.3%, RPS50/120=97.1/93.7, 20日涨跌=58.8%, 低位距=150.3%, SOS量比=2.12",事件驱动：不建议硬放宽
002792,通宇通讯,通信设备,10.01%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、20日回调不足,"MA50/200=44.71/30.85, bias200=41.5%, RPS50/120=40.3/98.0, 20日涨跌=2.0%, 低位距=205.7%, SOS量比=0.66",事件驱动：不建议硬放宽
002805,丰元股份,电气设备,10.02%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=17.57/16.00, bias200=42.8%, RPS50/120=95.2/90.7, 20日涨跌=30.9%, 低位距=114.0%, SOS量比=0.70",事件驱动：不建议硬放宽
002838,道恩股份,塑料,8.26%,L4未命中,未触发L4：SOS前日涨幅-2.31%/量比1.32；LPS低点距MA20=3.37%/缩量比=0.92；Spring跌破支撑=False/收回=True,"MA20=27.64, support60=23.18",L4：爆发前夜影子触发
002871,伟隆股份,机械基件,9.98%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=18.57/16.48, bias200=11.9%, RPS50/120=47.5/75.6, 20日涨跌=10.9%, 低位距=96.8%, SOS量比=1.56",趋势轨：RPS阈值敏感
002903,宇环数控,机床制造,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=28.65/24.07, bias200=55.3%, RPS50/120=98.1/92.7, 20日涨跌=34.4%, 低位距=103.1%, SOS量比=1.45",事件驱动：不建议硬放宽
002929,润建股份,通信设备,8.33%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=52.08/46.94, bias200=27.1%, RPS50/120=90.7/85.8, 20日涨跌=19.7%, 低位距=55.9%, SOS量比=1.71",事件驱动：不建议硬放宽
002975,博杰股份,专用机械,9.13%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=83.51/68.13, bias200=62.0%, RPS50/120=95.9/90.8, 20日涨跌=54.2%, 低位距=294.9%, SOS量比=1.28",事件驱动：不建议硬放宽
002989,中天精装,装修装饰,10.00%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=29.25；L4=-,"L2通道=地量蓄势, 当前=29.21",风控：硬剔除改高风险观察
002990,盛视科技,软件服务,8.51%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=33.77/30.81, bias200=74.7%, RPS50/120=99.1/94.7, 20日涨跌=75.6%, 低位距=112.0%, SOS量比=1.24",事件驱动：不建议硬放宽
003007,直真科技,软件服务,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=43.92/38.68, bias200=15.6%, RPS50/120=65.9/82.2, 20日涨跌=8.0%, 低位距=64.2%, SOS量比=0.60",趋势轨：RPS阈值敏感
003036,泰坦股份,纺织机械,8.09%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=23.58/18.68, bias200=75.3%, RPS50/120=99.0/92.6, 20日涨跌=24.6%, 低位距=166.5%, SOS量比=1.78",事件驱动：不建议硬放宽
003041,真爱美家,纺织,10.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、20日回调不足,"MA50/200=55.95/41.67, bias200=25.7%, RPS50/120=34.9/96.7, 20日涨跌=3.8%, 低位距=140.8%, SOS量比=0.77",事件驱动：不建议硬放宽
300017,网宿科技,软件服务,8.12%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近,"MA50/200=18.34/13.23, bias200=20.9%, RPS50/120=23.0/86.9, 20日涨跌=-9.8%, 低位距=63.9%, SOS量比=0.45",事件驱动：不建议硬放宽
300042,朗科科技,IT设备,19.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=44.07/31.92, bias200=63.7%, RPS50/120=97.6/93.8, 20日涨跌=21.1%, 低位距=142.6%, SOS量比=1.46",事件驱动：不建议硬放宽
300053,航宇微,半导体,8.83%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=18.19/16.35, bias200=9.5%, RPS50/120=23.8/85.3, 20日涨跌=5.5%, 低位距=58.7%, SOS量比=1.02",趋势轨：RPS阈值敏感
300067,安诺其,染料涂料,10.51%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=5.24/5.14, bias200=33.1%, RPS50/120=91.3/91.1, 20日涨跌=42.7%, 低位距=67.9%, SOS量比=2.93",事件驱动：不建议硬放宽
300113,顺网科技,互联网,8.43%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：短期RPS未降温,"MA50/200=27.61/23.63, bias200=6.9%, RPS50/120=46.9/71.9, 20日涨跌=-11.5%, 低位距=44.0%, SOS量比=0.54",事件驱动：不建议硬放宽
300133,华策影视,影视音像,10.18%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：20日回调不足,"MA50/200=7.93/8.17, bias200=7.0%, RPS50/120=6.6/71.0, 20日涨跌=18.7%, 低位距=32.6%, SOS量比=1.15",事件驱动：不建议硬放宽
300139,晓程科技,黄金,10.29%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近,"MA50/200=60.92/36.83, bias200=43.6%, RPS50/120=40.2/97.3, 20日涨跌=-11.0%, 低位距=208.3%, SOS量比=0.45",事件驱动：不建议硬放宽
300166,东方国信,软件服务,20.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=14.66/11.77, bias200=31.2%, RPS50/120=89.3/89.1, 20日涨跌=3.5%, 低位距=68.0%, SOS量比=1.10",事件驱动：不建议硬放宽
300170,汉得信息,软件服务,12.76%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：20日回调不足、长期RPS不足,"MA50/200=21.80/20.07, bias200=-1.2%, RPS50/120=7.6/66.5, 20日涨跌=1.0%, 低位距=27.0%, SOS量比=0.40",事件驱动：不建议硬放宽
300209,行云科技,互联网,19.63%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=10.68/7.04, bias200=148.0%, RPS50/120=99.4/99.0, 20日涨跌=70.4%, 低位距=255.8%, SOS量比=1.81",事件驱动：不建议硬放宽
300214,日科化学,化工原料,10.57%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS120不足,"MA50/200=7.56/7.45, bias200=10.5%, RPS50/120=83.8/59.3, 20日涨跌=12.6%, 低位距=41.7%, SOS量比=1.26",事件驱动：不建议硬放宽
300222,科大智能,电气设备,10.54%,L2淘汰,六通道均未通过；最接近吸筹通道，但仍差：60日振幅未收敛,"MA50/200=11.57/11.75, bias200=-4.7%, RPS50/120=48.7/26.6, 20日涨跌=3.0%, 低位距=19.4%, SOS量比=0.45",左侧轨：吸筹阈值敏感
300223,北京君正,半导体,10.07%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=119.28/97.52, bias200=27.3%, RPS50/120=70.0/88.3, 20日涨跌=14.8%, 低位距=97.1%, SOS量比=1.22",趋势轨：RPS阈值敏感
300254,仟源医药,化学制药,8.74%,L1淘汰,市值不足：34.57亿 < 35.00亿,20日均额=19033.0万,L1流动性/市值
300255,常山药业,生物制药,11.15%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、20日回调不足、长期RPS不足,"MA50/200=41.72/50.05, bias200=-17.4%, RPS50/120=25.4/0.5, 20日涨跌=4.7%, 低位距=101.9%, SOS量比=0.85",事件驱动：不建议硬放宽
300302,同有科技,IT设备,8.44%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=21.57/19.30, bias200=43.6%, RPS50/120=96.7/81.9, 20日涨跌=37.4%, 低位距=102.9%, SOS量比=1.51",事件驱动：不建议硬放宽
300303,聚飞光电,半导体,8.44%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=9.50/7.44, bias200=19.5%, RPS50/120=89.6/84.6, 20日涨跌=-1.0%, 低位距=54.3%, SOS量比=0.65",事件驱动：不建议硬放宽
300368,汇金股份,IT设备,20.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、长期RPS不足,"MA50/200=11.59/14.06, bias200=-27.5%, RPS50/120=8.0/0.2, 20日涨跌=-10.8%, 低位距=113.4%, SOS量比=0.60",事件驱动：不建议硬放宽
300383,光环新网,软件服务,8.74%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：条件基本接近,"MA50/200=16.70/14.89, bias200=6.8%, RPS50/120=34.7/74.2, 20日涨跌=-9.9%, 低位距=29.1%, SOS量比=0.64",事件驱动：不建议硬放宽
300393,中来股份,塑料,10.08%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS50不足、距MA200过高,"MA50/200=10.25/7.68, bias200=31.8%, RPS50/120=69.6/93.2, 20日涨跌=1.4%, 低位距=102.4%, SOS量比=0.42",趋势轨：RPS阈值敏感
300442,润泽科技,软件服务,8.03%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=88.95/62.89, bias200=41.6%, RPS50/120=76.5/95.9, 20日涨跌=5.3%, 低位距=110.3%, SOS量比=0.61",事件驱动：不建议硬放宽
300456,赛微电子,半导体,13.57%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=49.65/38.41, bias200=19.3%, RPS50/120=18.9/95.4, 20日涨跌=-0.5%, 低位距=193.7%, SOS量比=0.79",趋势轨：RPS阈值敏感
300475,香农芯创,元器件,11.43%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=150.08/115.15, bias200=51.7%, RPS50/120=92.2/84.2, 20日涨跌=36.4%, 低位距=524.2%, SOS量比=1.23",事件驱动：不建议硬放宽
